,hikename,report,index
266,Mount Aix — Washington Trails Association,"
We headed east in search of not-rain and had never been to the Bumping Lake area so I selected Mt Aix off the map. Past the pavement the road is mostly fine but there are some areas with lots of rocks (some attached some loose). If you have a ""regular clearance"" vehicle you need to watch out for the larger rocks but you should be able to make it to this TH. There are a handful of potholes too. We reached the TH around 10:30am and it was still only in the upper 40's which we consider perfect hiking weather in long sleeves and long pants. 
The trail has a handful of blowdowns on the lower 2-3 miles of trail some loose tread in the forest. Overall a nice trail that reminds me of the uphill nature of McClellan Butte or Mailbox Peak (new trail) in their length and steepness during the forest sections. Lots of switchbacks duffy forest some minor up/down in sections. We liked the trail overall and discussed how this would be an excellent weighted conditioner for us if it wasn't a 2.5+ hour drive from Issaquah. There were a few water trickles early on a stream near the trail 1 mile in and another minor trickle near a nice looking mountainside campsite around 6600 elevation. It wouldn't be easy to filter water along this trail it's pretty dry territory. 
Once out in the open rocky terrain and past the Nelson Ridge junction (weathered sign here) you'll traverse around the side of a high point and descend to a windy notch before re-ascending to the shoulder of Mt Aix. We needed to wear jackets buffs and gloves beyond this point. Brr! At this point you can choose a steep scramble to the summit or a long traverse. Since #1babe's leg is still healing we picked the traverse (the Trail Route). The traverse is mostly level but does go down/up a little bit. It's loose eroded tread. I suspect it is damaged each spring when snowmelt + rockfall hit the mountain and that probably no trail work is done just feet. There are a couple of sections where the tread is narrow and the overall mountainside is steep. I found it to be no problem however a more timid hiker or someone afraid of heights will not be happy with this section. I wouldn't take my mom here! After traversing across the mountain to the opposite side find a large cairn at a trail junction. You'll turn left here following the rocky tread up a short but loose gully traverse below another high point drop down slightly to a basin before the final ascent to the lookout site. The summit has tremendous view potential but there were thick dark clouds to the west obscuring Mt Rainier and to the north and south. We could see Yakima and quite a few peaks as well as elk in a nearby basin. 
The summit was quite cold as the mountain forecast website had warned. We wore insulated jackets and layers during our 45 minute stay at the summit. I highly recommend bringing adequate layers for this windswept location all the men we saw today were wearing shorts and looked pretty cold! 
We saw 3 hiking parties and one polite hunter party. The forested part of the trail is worth wearing something bright colored so no one mistakes you for a deer or elk :D 
Our GPS tracked this as 13 miles 4700 elevation gain/loss. 
,
Hiked Nelson Ridge and Mount Aix today starting from the Nile Ridge Trail and cutting up to the Nelson ridgeline. Met up with the Mount Aix Trail at around 2pm and made it to the summit. The true summit is a little bit of a scramble so be prepared for that. Headed back down to the jct with the Nelson Ridge trail and took the Mt Aix Trail down. The trail is not very steep because of the enormous amount of switchbacks. There are a few blowdowns along the trail that are pretty easy to step over. Got to the trailhead at 6pm.
Our final trip was 14+ miles and 7000 ft of gain from the beginning of Nelson Ridge to Mt Aix to the trailhead. Let me know if you want a gpx file of our loop. 
,
It was a perfect day for the hike up Mt. Aix with clear skies mild temperatures and good views.  The smoke from the wildfires caused a haze in the distance but Mt. Adams Mt. St. Helens and the Stuart Range were all visible and Mt. Rainier was stunningly clear.
The 3-4 miles of dirt road to the trailhead have some rough sections but I had no real difficulty in my Prius.  The trail is in reasonably good condition up to the base of the mountain although there were half a dozen trees to be stepped (or clambered) over and a few sections where the trail has been partially eaten away.  The lower switchbacks are fairly steep but not overly so and the higher switchbacks are on a more gentle grade.  That said it's a bit of a grind to get up the 3600 feet to the top of the ridge.  Views of Mt. Rainier and other surrounding peaks got progressively better though.
At the trail junction at the base of the mountain proper I chose the traverse to the right since the alternative scramble up the ridge line looked a bit sketchy.  However a couple of hikers were coming down it without apparent difficulty.  As others have noted the traverse has been eaten away in several places so care was necessary in navigating the steep slope.  At the end of the traverse you are at the back (East) end of the mountain and ascending it requires following a fairly dim trail around the back side with a final short scramble at the end.
I was disappointed to find the canister at the summit had a broken cap and no register to fill in.  But the views as noted above were excellent particularly of Mt. Rainier.  The wind was strong on the ridge but provided respite from the bright sunshine.
I encountered only 4 other hikers during my 8 hours on the trail.  I measured a total distance of 12.2 miles and cumulative elevation gain of 4780 feet. 
",266
267,Mount Angeles — Washington Trails Association,"
This is a challenging but rewarding trek from the Hurricane Ridge Visitor Center.
From the visitor center you will gain and lose altitude many times until you reach the fork for the climber's trail.  It is currently marked with a small sign saying ""trail"" pointing downhill with the uphill trail unmarked.  The unmarked trail is the one you want.
Follow it up until you come to the scree slope.  Like all scree it's a climb slide repeat until you've passed it.  Once you're past it though you're at a rocky chute which isn't particularly stable... the rocks are brittle and fragile and will easily break off in pieces by grabbing them.  Clearing this chute is a challenge but doable.  
Once you've cleared this the true summit looms over to the left (north) and a safe path isn't obvious to the eyes.  I climbed up a few more rock formations until I got to the very base of the summit (somewhere between 75-100 feet from the top I'd estimate).  The most obvious route was to circle around to the west and finish the climb from the west side slope but I couldn't safely do this so I called it quits.  The exposure at this particular part is fatal.
It sucks to not quite reach the top but you win some and lose some.  Descending is more difficult than climbing and must be done a little more slowly and cautiously.
If you're an experienced rock climber/route finder this can be done without equipment though the exposure danger should be considered carefully.  There's apparently a second easier route that I'd have tried if I'd read up on it.
Video posted below.
",267
268,Mount Baker — Washington Trails Association,"
Did a 3-day trip with Mountain Madness with a plan to summit on the Easton Glacier path. Got to the trailhead around noon on Friday. Not too many cars in the parking lot. Road in was a little rough with potholes but nothing too bad. High clearance is a good idea but probably not absolutely necessary.
Trail was in great shape. You spend a good amount of time walking along a dirt trail then along a ridge line (a moraine) so it helps to have poles if you're not super coordinated or uncomfortable around heights. Got to base camp a few hours later steady grade incline the whole way up. There were a few other tents around but plenty of spots for us to set up camp. To get water we went over a knoll to the right of the campsites for the glacial run-off. Water was nice and cold. No bugs flying around although we saw plenty in the snow. Tons of wildberries in the wooded part of the trail. 
Unfortunately for us weather conditions did not allow us to summit. Still we tied ourselves to each other and walked a little across the glacier in our crampons and got to see the (very deep) crevasses up close and personal. Definitely some good ones to learn some ice climbing too! I'd say it's really the end of the season for Baker climbs now. The crevasses are ready to swallow you whole.  
Headed out on Sunday. Took us about 3 hours to descend from base camp. 
",268
269,"Mount Baker, Railroad Grade — Washington Trails Association","
Summit attempt up Mount Baker via the Easton Glacier.  Arrived at Sandy Camp the afternoon of Sept 3rd.  Hiked up to about 7000 feet neat The Portal along the rocky ridge attempting to spy a feasible route.  The glacier is very broken and no clear routes were visible without significant back and forth glacier traversing.  We opted to delay the usual early AM alpine start as we did want to be wandering around crevasses with limited sight distance visibility.  We began our route up at 8am and only saw two other parties at camp.  We entered the Easton Glacier past 6000 feet where it was close to the rocky ridge and traversed across a very crevassed surface (small and narrow in the AM however past noon water was flowing and the entire surface became much softer).  We opted to find a route which skirted left and below the ice dome and traversed back right above it connecting with a more established path upwards gaining right and traversing several ridges.  We opted to turn back at around 9100 feet as it was hot and the snow was getting soft.  Upon joining and taking the more established path we encountered a snow bridge proving the only access back - it was about 12 inches wide and 10 feet long.  A picket was insitu which we used after ensuring it was stable.  The surface of the bridge was slushy proving an unnerving lack of confident purchase for our crampons - I suspect that within a week or so this will be unpassable - however going left and below the dome provided a route with more passable crevasses.  I would advise a start between 2-4 AM to allow for daylight to assist with route finding options for all the crevasses which are opening.  Get back down before the snow gets soft as the route is extremely broken and will most likely be unclimbable within 10 days.  Detailed photos of the route and conditions are in my AllTrails link below as well as the location of the snow bridge.  You can zoom into the topo map to see our route.  More info is also available in the Movescount link along with downloadable GPX files.
",269
270,Mount Catherine — Washington Trails Association,"
My wife and I and our 3 kids (8yr 6yr & 3yr) had an awesome time on this hike. Got to the trailhead at 9:30am the road leading there has one spot with some big rock. A lot of cars parked before it and just added an extra mile or so to the hike. We were in a truck so it wasn't a problem. Trail is nice and rocky so not really any mud despite rain the day before. We carried the 3 year old up most of the way but the other 2 did great. Took our time and reached the top about 11:00am. Kept a very close eye on the littest one on the peak as there are some cliffs. Weather was great and the view was amazing.
,
Had an afternoon free unexpectedly so decided to try a quick hike close to Seattle. Mt. Catherine was an excellent choice.
Like other trip reporters have mentioned the road to the trailhead is a bit rough. My CRV handled it fine but cars with lower clearance might want to think twice. There is a small parking area on a curve about 1.5 miles from the trailhead just before most of the worst parts of the road begin. You could easily park here and turn this into a 6 mile round-trip for a longer day out. 
Trail is short but the elevation makes it a nice little workout. Took me just under 45 minutes to get to the summit at a moderately brisk pace. The entire trip took only about 2 hours including 30 minutes at the top for a rest and bite to eat. 
The trail is overall in good condition. There are some spots with mild overgrowth but it's all very passable. The only difficult section is the final scramble to the top although there is a cable to help. 
All in all a great way to spend an afternoon. 
,
Took my friend on her first hike today! Although today was a bit hazy and the view of Mount Rainier was quite obstructed this was still a very nice hike. The road up is filled with pot holes and dry creek crossings so I would definitely recommend a higher clearance vehicle. The trail itself is in excellent condition and is very easy to follow. A moderately steep hike with a great payoff. The view at the top is beautiful even when it is hazy. It looked like most of the huckleberries had already been picked but there were still a few sweet ones left. 
,
Tried to hike this but the road conditions were impassable for my type of vehicle( aka tiny).  Please be aware that @ mile 3 there is a patch of huge rocks on moderately uneven terrain that is really only passable with a high clearance vehicle.  I watched a mini Cooper( mini Cooper!) almost give up then try and fail twice and then be pushed over the area by three guys assisting the driver.  Don't know how they fared on the way back bit too risky for me....Disappointing because I've done the hike before and it's beautiful....

,
Great family hike. Low mileage high reward.
Lots of blueberries alongside upper half of trail.
Road to trail head is no big deal for Subaru Outback and other similar-clearance AWD vehicles. Requires attention over the rough sections but many Subarus and small SUVs at the trail head.
,
The road was pretty rough. We saw a few cars parked lower down on the road as we were leaving. We started hiking around 9 and only saw two other people on the trail. As we were coming down around 11 it was a lot more crowded. Although it was a bit cloudy we got some views of the mountains.
,
Yes the road is very rough but it is also pretty short. I would not take a sports car there but any SUV and careful car should be able to make it. The second switchback is the worst spot and several cars were parked just below that point. The guide is pretty accurate except for describing this as ""less-traveled and better-kept secrets"". At least on Labor Day 2018 the secret was out. There were about 20 cars when we arrived at (ahem) 1pm and 13 when we finished the hike. Many families on the trail including 4 or 5 newborns catching a ride. It is great to see young ones on the trail. I only wish for some of that energy. There were huckleberries but sort of scarce and small in size. We thought we saw several of the Taylor’s checkerspot butterflies but an internet check seem to peg it as a Utah Brushfoots. We had clear views of Mt Stuart and the peaks N of I-90. Rainier was a little hazy. Lots of folks on the peak so we only stayed a short time; finding a lunch spot down the trail a ways.
,
Just returned from a wonderful day hiking Mount Catherine.  We went with the family (2 kids-10 and 13) plus our dog.  The road up once it turns unpaved can be rough at times but is mostly fine.  Most vehicles should be able to make it all the way to the trail head.
We arrived around 11 and there were at least 15 cars but the trail did not feel crowded.  The hike was gorgeous with many wildflowers and lots of ripe huckleberries!  The hike took a little over 2 hours with a leisurely lunch at the top.  Highly recommended!!
",270
271,Mount David — Washington Trails Association,"
Our first time up Mount David on Monday what a hike! Fall colors are out in force and there was a light dusting of snow just enough to make it beautiful and a little tricky to navigate on some of the rocky parts. 
Road to trailhead has some deep gully-type ruts not suitable for low clearance vehicles. Left the car at 9 am and were on top by 1:15 with some serious time taken for gawking once hitting the ridge. The brushy section mentioned in other posts is easy to navigate now that all spring and summer foliage is no longer in bloom. Many blow downs to maneuver around but none that were too horribly difficult. Two running streams in the first 1.5 miles to draw water from though we just carried from the car. The minor snow dusting was melting out on our way down though I would bet that more could be close behind. The last mile of this trail to the summit block I would not attempt in any sort of serious snow. 
Left the top at 2:30 and were back at the car by 6:15 or so. 
,
David is a challenge for sure. With over 5000’ of gain and some pretty questionable tread at times you will be on your game much of the day. This trail has much to offer. Immediately upon leaving the parking lot we crossed the deeply carved rocky White River. It lives up to it’s name with eerily white waters from it’s glacial origins. The initial mile of trail parallels the river. At the point where you turn uphill a ‘lookout’ is noted to the left. It is well worth this ¼ mile diversion for stunning views of the cataracts. We were happy to do it first as we didn’t have the energy for it on the return. This trail is very family friendly to this point and perhaps for another ¼ mile. A quiet little forest service campground (1 mile shy of the trailhead) offers a great place to stay.
The switchbacky trail is no joke. There was one very good stream down low for refilling but then the trail is drydrydry. A grove or two of old growth cedars were quite pleasant. A short stretch is overgrown but this doesn’t last long. The only real difficulty is downed trees. We counted 75 logs. I busied myself clearing the smaller stuff to keep the trail tidy but there wasn’t much to do about most of it just find away around I guess. After 41 switchbacks the ridgeline is reached.
I personally love this ridgeline. The fools who built the fire lookout atop this mountain clearly were obsessed with making it happen. The trail flip-flops from one side of the ridge to the other. It dodges rock outcrops with trails that have degraded to a boot width wide at times. Zig-zagging up impossible slopes this trail racked up another 44 switchbacks before topping out on it’s dynamite enhanced summit. This ridgeline is not for those with acrophobia.
I’d love to know what the success rate is on this peak. It is longish at 15 miles has 5300’ of gain and the top is downright spicy. My wife questioned me near the top as to why on earth I would do this hike twice? Naturally my chivalrous side said that it was because she said she wanted to go (whereas in reality I also actually loved the hike).
The summit has stunning views all around. Glacier is in your face Daniels and Rainier to the south and up close are the dry rugged peaks of Poets Ridge and the Wenatchee Mountains. Much of the ridge has been burnt by a recent fire. I would argue that it was a healthy fire and that the forest is recovering. Autumn’s colors are upon us and the snows are sure to be close behind.
 
",271
272,Mount Defiance — Washington Trails Association,"
Quiet hike yesterday; definitely a good leg stretcher.Recommend bringing hiking boots and trekking poles because the trail is eroding quite a bit in areas and you will need the extra traction: I almost ate it a couple times slipping on mud.
,
Arrival time: 10:30amParking lot: full. Parked on the road side close to the parking lot.Trail pass: National park annual passDuration: 1) 2hrs to Mason Lake rested and had lunch. 2) 2hrs to Mt Defiance peak. 3) 2.5hrs back to parking lot. Highlights: We went off trail just after leaving Mason lake. There were many blue berry bushes. The fruits were not ripen but should be ready in couple of weeks. We also hiked thru a beautiful meadow close to peak. The view was breathtaking!
",272
273,Mount Dickerman — Washington Trails Association,"
This was a rare day indeed on Mount Dickerman.  When was the last time you rolled into the parking lot at 10 am on a weekend day and there was only one car in the whole lot?  It was just like the old days when you could squeeze 3 to 4 cars into the tiny roadside pullout (if you knew where it was).  I did not run into the one other person on the mountain until I was about 2/3 of the way to the top.  He looked really cold with chattering teeth clad in his shorts and windbreaker.
The hike up through the switchbacks was kind of wet with dripping trees and it was almost dark.  The sun popped in and out as I passed the turnoff to the spring route.  The blueberries looked nice and ripe so I knew I would have to taste test several sites on the way down.  The last part through the open areas at the top was brutal when I was in the wind; almost warm if it was sunny and calm.
I can not remember the last time I have had the summit to myself!!  I stopped several times on the way down to sample the blueberries but I had to take off a glove to do the picking.  That really cut down on my grazing time.  The berries were still crisp but pretty small.
My trail statistics got all messed up as I got half way down.  There must have been all of 7 or 8 more people on the trail.  One young man seemed concerned at the lack of people.  I advised him to do what I do; exercise more caution and turn back when it gets uncomfortable.
This seems to be the start of the ""character building"" time in the fall.  I had just got my body acclimated to hotter temperatures now I need to do the opposite.  I just hope the hordes of other hikers continue to stay in bed until next May.
,
Dickerman is a favorite in every season for different reasons: now it is for the berries. So yummy! 


,
Great trail! I felt like I really earned the expansive views that unfold on this hike. The summit offers unparalleled panoramas across the North Cascades. It was a little hazy when I did this hike last week but the peaks were still visible in all their splendor.
This is huckleberry heaven! Another hiker reported seeing a bear along the trail but she had vanished by the time we reached it.
Mosquitos and flies weren't too bad at all. Late summer hiking is really a wonderful experience and this trail did not disappoint.
,
We decided to challenge ourselves on a sunny and cool early fall day during Labor Day weekend. At 8.6 miles and 3850 elevation gain the Mount Dickerman trail looked challenging enough.
We arrived at the parking lot at 9:30 AM after blowing through Seattle (Sunday mornings are awesome!). The lot was mostly full with just a few spaces left. Note that the road leading to the parking lot is all paved so no gravel forest roads to deal with. There are restrooms at both ends of the lot that were reasonably clean. Note that the Perry Creek Trail starts at the other end of the parking lot.
As noted in the WTA description the trail starts climbing immediately out of the parking lot and does not let up until the top ever! Be prepared to hike across a combination of rock gravel stair steps and endless switchbacks. Good boots are highly recommended. There is no water so bring plenty as you'll be sweating and taking lots of breaks. There are no views to speak of until you get about a mile from the top. We only crossed one small creek and saw no animals except for a couple of Camp Robbers (Gray Jays).
We encountered no bugs to speak but there were LOTS of wild blueberries in the fields below the peak. The wildflowers are not present outside of a few patches of Indian Paintbrush
At the peak you will find a breathtaking 360-degree view of the North Cascades. The fresh breeze was welcome but the open exposure could get really chilly on a colder day. There are a number of rock outcroppings to sit on and eat lunch and plenty of space for the crowd.
I would recommend researching Mount Dickerman on Google Earth before going so that you can identify the numerous peaks on display at the top. Also I highly recommend picking a clear day and bringing a pair of binoculars. You want to be rewarded for the effort you will have to put it!
#HiketheState
",273
274,Mount Ellinor — Washington Trails Association,"
My best hiking buddy and I have been planning a sunrise hike all summer and FINALLY accomplished it! We left Tumwater at 12:30 am arrived at the trail head at 2:30 am and stargazed until 3:30 am. Never have I ever seen so many stars OR the milky way before; clear as day and definitely breath taking. Since it is still considered late summer it wasn't too cold but we definitely wore leggings under our pants warm socks beanies and an extra sweater (layers came off as we hiked) though next time we will bring gloves! maybe even a scarf. Hiking poles and head lamps are a must! We've done Mt. Ellinor before but only in day light and the heat of the summer so it may have taken longer since it was a night hike and we were trying to be extra cautious and aware of our surroundings. Surprisingly no animals were to be found except one little trail mouse. We peaked at 6:30; 15 minutes before the sun was to rise. It was literally one of the most amazing things I have ever experienced! Once the sun rose all the layers came off! The trail is in perfect condition. The snow field was melted and the rock steps have been maintained well (one loose wooden step toward the top). I HIGHLY recommend this hike for your first sunrise. She and I were the only 2 people up there and it felt like we were the only 2 people in the world. Give yourself plenty of time to enjoy it! We were off the mountain and home by noon that same day! Will definitely make this a yearly hike! 
,
I started at the lower TH which adds 1.4 miles to the hike vs starting at the upper TH or if you’re up for it you can start at Big Creek campground which adds 4 miles and some change. Big Creek is right off of SR 119.
The lower section is a nice easy. This section walks you through thick old growth Olympic forest. In this area there were 2 downed trees that blocked the trail the trees were easy to get around. 
Once you get to the upper trail section you’ll hit a few switchbacks still nothing too strenuous. As you get out of the switchbacks the you’ll start ascending up rock. Watch your footing now that it’s raining the rocks can be slippery. The rocky section is maybe .3 mile up and then more steeper switchbacks to get you to the summit. By the time I got there a storm had blown in so not much of a view while I was up at the top. 
Round trip was about 3hrs that’s including water breaks for the pup. 
,
Started at the upper trailhead on Friday at 1pm. There were a decent amount of cars but nothing crazy. The first 30 minutes of the hike were never ending switchbacks that burned my calves like crazy. Stopped every couple of seconds to question my life. I think the next 20 minutes or so switched to climbing through rocks which was a nice change but at this point you’re still questioning life. On the bright side you’ve made it through the clearing and you’ve got a nice view of Mt Rainier on a good day. The last bit involves hiking a narrow trail along the mountain and just when you think you’ve reached the top you gotta keep going. But it’s a short ways by that point and the views are definitely worth it. Definitely gets chillier up there so a sweater is a smart idea. Saw a mama goat and her baby goat going up near the switchbacks and saw them again going down. Also got real close to a goat up at the peak and we had a mini photoshoot and he didn’t seem to mind at all. The trip up took me about 1hr 20mins but it seems people average a little more than that. The trip down took me 45mins but I jogged through the switchbacks. Also hiking sticks would probably be useful going down as it is pretty steep up near the top. Views on a clear day are super worth it though!
,
Started at the upper lot. Trail was fairly busy but everyone was super friendly. I highly recommend shoes with good traction also I was glad I had my hiking poles. No goats in sight the whole trail. The views at the top are amazing! This hike is definitely a good leg workout!!
",274
275,Mount Erie — Washington Trails Association,"
Easy peasy little Sunday hike.  About an hour or so up less than that down.  Multiple different routes to the top.  Great views!
",275
276,"Mount Forgotten, Perry Creek — Washington Trails Association","
We went on a pleasant day hike/scramble to Mt Forgotten. 
There are a few blowdowns on the Perry Creek trail most stream crossings are dry the Perry Creek crossing is easy right now and the only available water on route. 
When approaching the meadows the blueberries are turning red-leafed in places-- start of fall colors. The berries themselves are delicious as you approach the meadow.
The Forgotten Scramble starts with a steep dirt descent before a mostly ascending traverse. This is steep angled trail and you need to climb through some trees and brush. Once you round the mountain climb up the gully- the most solid rock is towards the right. There is some loose rock here. Then a nice heathered path to the precipitous summit! Amazing views similarly spectacular to those found on nearby Mt Dickerman. 
",276
277,Mount Grant Preserve — Washington Trails Association,"
Gorgeous hike up a paved road which is gated so there is no traffic.  The views from the top are exceptional in all directions.  We came down the non-motorized trail which was just as nice as the paved road. There are no signs on West Valley Road indicating the trail head other than the little green street sign that says Mt. Grant Rd.  Since there is a Private Property No Trespassing sign right next to the road entrance it is a bit confusing but it IS a public parking and trail head.  
",277
278,Mount Margaret — Washington Trails Association,"
We arrived late about midday got the last parking spot at the moment. The parking lot is just a bit down the road from the trail head. Trail head is to Lake Margaret but you continue at the turn off to the lake like you are going to Lillian lake. Turn off  up to the mountain is just past a small rock field. Trail is not marked or supper obvious. Thankfully there where people to help us find it. Once you have turned off go basically go straight up the mountain. It is totally worth it. Beautiful at the top with views of the lake also. In a few weeks when the leaves start turning there will be a lot of color on the way up.
",278
279,Mount Maude — Washington Trails Association,"
Got to the Phelps Creek Trailhead via the Trinity Sign postings off of Chiawawa road. The road up to the phelps creek road junction are passable by all vehicles but the rest of the distance to the trailhead should be done in a higher clearence vehicle as my toyota Yaris was almost bottoming out in a lot of places. We arrived at the trailhead around 230 PM on Saturday then headed out with our group of 6 by 3pm. The first three miles are a joke in terms of elevation gain but things change when you hit the Leroy Creek junction (which we did around 415). This is a great place to take a breather or cache up on water as the stream was running strong. 
Once on Leroy the incline is pretty rough and hard to get used to from the flat section so I would advise taking your time. We hiked from the base up to the Leroy basin where there are at least 3-5 camping spots laid out within the area for those who want to setup camp for the night like we did. At 7:30 30 minutes after we arrived we finally started eating our food and went to bed around 8:30 with a 6:15 wake up time to head up Mt. Maude. We lollygagged as usual and left our camp at 8:15 AM and reached the south face Saddle around 9:30 for a quick stop and snack which is a great spot to do so and possible camp if thats allowed there. 
From here it took us another hour and half to reach the base of the final approach near Ice Lakes. The scree fields here had 3 or 4 small patches of snow making for another dusty section to navigate. This final approach is pretty brutal on the knees as my gps calculated something to the effect of 1700' of elevation gain over the course of 1.5 miles. It took us from 10:30 to 12 to reach the top but we finally made it with the sun coming out and clouds moving about. We soaked in the views with a quick lunch for half an hour before starting back down. The views are some of the most exposed and panoramic views that I've discovered with a front and center seat to Glacier Peak in all its glory.
From the peak back down to Ice Lakes we ran out of water and made good use of a couple small puddles at the base of the scree to filter out some much needed water. We showed up at the Saddle at 2PM and made it back to camp by 3:15 which was faster than climbing but still slow for us and behind schedule. We packed up and left our camp at 4 and reached the bottom of the steep elevation (Leroy Creek/Basin Trail) section with much joy at 5:15. As mentioned the last three miles were flat but still painful when speed walking with a full overnight pack back to the car. We hit the car at 6:30 and gladly left the trails behind us for beers in Leavenworth.
The parking lot was full when we left on our trip but we only encountered 3 groups of about 3 people each making for a very quiet and secluded hiking experience. My group did not train in the slightest for this climb so we did suffer from the calf burning uphill this climb most definitely advertises and offers. We did see one relatively fit guy who did the entire thing as a day climb so it is definitely doable.
Hopefully I provided enough details and if not I can try my best to answer any questions you might still have.
",279
280,Mount McCausland — Washington Trails Association,"
The hike up is pretty easy once the trail splits between the lake and the mountains it gets quite a bit tougher. That being said the trail was easy to follow and there were plenty of spots to take a quick break and enjoy the view going up if needed. Once at the top there’s a move area overlooking Lake Valhalla to eat lunch. It was fun wandering around and seeing other views as well.
,
What a fun and beautiful hike this was! The road to the parking lot was a little bit rough but totally doable with a sedan. There are no bathrooms so pack accordingly. Like others have said the first three miles of the hike is really easy.
The trail is very nicely maintained and clean. After the three mile mark you will hit a fork that branches off to the summit or down to Lake Valhalla. A right turn leads you up the mountain and left goes down to the lake. The lake is half a mile down so you can always come back and head down that trail too if time permits. The trail up the summit is about 0.8 miles. This part is VERY steep and there is some wash out so take your time and be careful! Hiking poles would be helpful here but not necessary. I did it just fine with my hiking boots alone. There were handfuls of huckleberries and blueberries to be picked on our way up!! So sweet and delicious! The steep hike to the peak was well worth it! The views were breathtaking! Early fall foliage was also a sight to see.
Fun tip: when you arrive to the top where you think the trail has ended continue going past the huge white rocks to the left. If you continue walking through the trees you will stumble upon a fallen tree which will guide you to a “hidden” trail that takes you to a metal box and guestbook to sign! A view of Dow Lake can also be seen from here. This was quite the treat and discovery and we wouldn’t have found it if it wasn’t for the previous hikers coming down!
,
Great hike today from Smithbrook TH. Found the parking lot empty at 9am which was pretty awesome. Didn’t realize there wasn’t a bathroom at the trailhead. Sure would be nice if people would pick up their toilet paper rather than leaving it 10 feet off trail. I passed a number of PCT northbounders and traded smiles for mandarin oranges! Old pup and I made our way up McCausland enjoying huckleberries and blueberries along the way. Being new to PNW I tasted my first huckleberry today! The early fall leaves are beautiful. Had clear sight lines all around and enjoyed our private lookouts. After taking in the sights we made our way down to a more populated Lake Valhalla but managed to find some solitude lakeside. Pup sure is fun to watch play in the lake. Thanks to the nice group who found my water bottle half way up McC and left it for me back at the cairn! Was nice talking with y’all. Had another first this trip. Met a nice USFS guy hiking with a full-size shovel and massive pack. He was out there cleaning up after people who don’t pack it out or practice LNT principles. Was pretty surprised to see him and thanked him for serving others.
,
Arrived at the trailhead around 1030. The parking lot was full but there was space to park on the side of the road. It was a perfect day for a hike with sunny skies but not scorching hot temps. The trail is very well groomed and the first 3 miles are easily doable for all ages. The trail breaks off to the right (marked by a cairn) for the last 0.5 miles where it gets steep quickly. Had to take a couple of breaks but the views were beautiful at the top with a view of Lake Valhalla down below. On the way down would recommend hiking to the lake and having lunch by the water. It was very peaceful!
",280
